date,country,ifs_n_credit,ifs_r_gdp,ifs_n_shares,ifs_n_bonds,ifs_prices,mps
1996q1,MYS,300.862,,,,62.524933,
1996q2,MYS,318.90601,,,,63.056808,4.037455662
1996q3,MYS,340.715,,,,63.47049,5.718366977
1996q4,MYS,370.87399,,,,63.825073,44.85601963
1997q1,MYS,399.32901,,,,64.475143,10.66531764
1997q2,MYS,425.19501,,,,64.593338,9.061945423
1997q3,MYS,449.616,,,,64.888824,7.715281337
1997q4,MYS,466.92401,,,,65.568443,88.91681949
1998q1,MYS,471.07501,,,,67.282265,20.03056254
1998q2,MYS,468.922,,,,68.286919,61.81416439
1998q3,MYS,468.95001,,,,68.611954,111.9433324
1998q4,MYS,470.81,,,,69.084732,43.98302799
1999q1,MYS,457.45901,,,,69.971191,3.162838949
1999q2,MYS,456.26501,,,,70.089386,3.471892699
1999q3,MYS,464.09799,,,,70.148483,69.83183907
1999q4,MYS,461.01801,,,,70.532616,3.036903472
2000q1,MYS,461.21701,,,,71.123589,4.684810936
2000q2,MYS,469.284,,,,71.153137,38.5622962
2000q3,MYS,475.19601,,,,71.271332,74.01246293
2000q4,MYS,486.98599,,,,71.655464,50.05110212
2001q1,MYS,485.92401,,,,72.18734,77.6545385
2001q2,MYS,494.59399,,,,72.246437,47.04427828
2001q3,MYS,503.83899,,,,72.216888,37.05429223
2001q4,MYS,507.32199,,,,72.541924,24.20670007
2002q1,MYS,514.328,,,,73.251091,5.05985573
2002q2,MYS,519.16101,,,,73.664772,2.940640307
2002q3,MYS,525.54797,,,,73.723869,13.95776442
2002q4,MYS,535.05798,,,,73.812515,36.17640597
2003q1,MYS,542.25598,,,,74.167099,23.63533464
2003q2,MYS,550.90002,,,,74.314842,30.7046335
2003q3,MYS,563.92798,,,,74.403488,75.77304683
2003q4,MYS,566.34497,,,,74.58078,74.21703137
2004q1,MYS,570.08899,,,,74.846718,74.89656706
2004q2,MYS,582.51599,,,,75.142204,46.99897185
2004q3,MYS,592.81403,,,,75.526337,64.12156395
2004q4,MYS,596.94702,,,,76.294601,43.66093847
2005q1,MYS,605.19202,,,,76.737831,45.83408175
2005q2,MYS,612.33002,,,,77.387901,41.53967654
2005q3,MYS,627.341,,,,78.06752,74.05537953
2005q4,MYS,641.37,,,,78.747139,63.57441606
2006q1,MYS,646.93201,,,,79.60405,117.6263762
2006q2,MYS,661.69299,,,,80.579155,82.24936559
2006q3,MYS,668.15503,,,,80.845093,100.3526434
2006q4,MYS,676.08398,,,,81.170128,29.08379666
2007q1,MYS,681.315,,,,81.702003,83.48339697
2007q2,MYS,697.38,,,,81.761101,65.00539876
2007q3,MYS,730.27899,,,,82.322525,55.35949206
2007q4,MYS,729.487,,,,82.943047,54.7931118
2008q1,MYS,746.64099,,,,83.770409,79.510242
2008q2,MYS,772.78699,,,,85.720619,55.42262433
2008q3,MYS,805.45801,,,,89.236908,89.40404559
2008q4,MYS,823.71899,,,,87.848122,67.52756292
2009q1,MYS,829.03101,,,,86.932114,77.7208924
2009q2,MYS,834.526,,,,86.813919,52.42918275
2009q3,MYS,855.34998,,,,87.198051,59.75743358
2009q4,MYS,875.24298,,,,87.67083,65.11795482
2010q1,MYS,891.362,,,,88.114059,36.2304949
2010q2,MYS,907.914,,,,88.261803,25.80412279
2010q3,MYS,930.448,,,,88.852776,3.257003311
2010q4,MYS,959.52301,,,,89.4142,0.952969807
2011q1,MYS,982.28003,,,,90.566597,38.39581199
2011q2,MYS,1020.065,,,,91.216667,0.895233809
2011q3,MYS,1040.2939,,,,91.837189,0.925746922
2011q4,MYS,1075.954,,,,92.280418,41.34269919
2012q1,MYS,1101.585,,,,92.635002,0.370575308
2012q2,MYS,1154.292,,,,92.782745,77.16697357
2012q3,MYS,1181.391,,,,93.078232,39.00991235
2012q4,MYS,1205.701,,,,93.491913,36.54654413
2013q1,MYS,1224.885,,,,94.023788,97.08945286
2013q2,MYS,1253.48,,,,94.437469,36.56532641
2013q3,MYS,1278.014,,,,95.08754,34.89935804
2013q4,MYS,1321.311,,,,96.269485,38.44228104
2014q1,MYS,1345.647,,,,97.274139,46.83764162
2014q2,MYS,1374.691,,,,97.540077,19.93782226
2014q3,MYS,1398.4871,,,,97.953758,93.17319248
2014q4,MYS,1439.267,,,,98.987961,66.57460863
2015q1,MYS,1467.7321,,,,97.92421,55.98785203
2015q2,MYS,1490.891,,,,99.638031,0.439387912
2015q3,MYS,1527.885,,,,100.87907,73.0845057
2015q4,MYS,1558.321,,,,101.55869,17.7583555
2016q1,MYS,1570.993,,,,101.29276,0.832688462
2016q2,MYS,1593.3879,,,,101.55869,0.664430132
2016q3,MYS,1616.9919,,,,102.23831,74.43888893
2016q4,MYS,1648.719,,,,103.21342,39.38341641
2017q1,MYS,1675.968,,,,105.51821,38.16898662
2017q2,MYS,1691.4351,,,,105.45911,0.741493879
2017q3,MYS,1708.49,,,,105.96144,41.44846633
2017q4,MYS,1745.0909,,,,106.87745,0.748272985
2018q1,MYS,1772.1219,,,,107.40932,97.55088412
2018q2,MYS,1840.2159,,,,106.8479,67.15504302
2018q3,MYS,1860.861,,,,106.46377,109.8917416
2018q4,MYS,1892.47,,,,107.20248,60.64859836
2019q1,MYS,1911.8521,,,,107.08429,94.04826978
2019q2,MYS,1925.718,,,,107.52752,57.66159389
2019q3,MYS,1944.299,,,,107.8821,91.0889519
2019q4,MYS,1976.4659,,,,108.26624,81.82705085
1996q1,THA,6328.0571,,,,82.743881,
1996q2,THA,6604.5488,,,,83.678032,4.037455662
1996q3,THA,6762.1729,,,,84.500633,5.718366977
1996q4,THA,7035.5571,,,,85.625328,44.85601963
1997q1,THA,7171.4878,,,,86.373573,10.66531764
1997q2,THA,7225.519,,,,87.228706,9.061945423
1997q3,THA,7625.8188,,,,89.682587,7.715281337
1997q4,THA,8087.4238,,,,91.98774,88.91681949
1998q1,THA,7723.5571,,,,94.172058,20.03056254
1998q2,THA,7780.5049,,,,96.282021,61.81416439
1998q3,THA,7603.7939,,,,97.1418,111.9433324
1998q4,THA,7451.6328,,,,96.667755,43.98302799
1999q1,THA,7288.666,,,,96.862953,3.162838949
1999q2,THA,7060.771,,,,95.933456,3.471892699
1999q3,THA,6723.6382,,,,96.198364,69.83183907
1999q4,THA,6419.1738,,,,96.941963,3.036903472
2000q1,THA,6398.9712,,,,97.72274,4.684810936
2000q2,THA,6164.8779,,,,97.532188,38.5622962
2000q3,THA,5686.521,,,,98.271141,74.01246293
2000q4,THA,5664.0132,,,,98.266495,50.05110212
2001q1,THA,5695.9482,,,,98.698708,77.6545385
2001q2,THA,5423.0679,,,,99.711861,47.04427828
2001q3,THA,5488.5791,,,,99.670036,37.05429223
2001q4,THA,5345.2021,,,,99.130928,24.20670007
2002q1,THA,5727.5718,,,,99.293587,5.05985573
2002q2,THA,5725.9521,,,,100.06507,2.940640307
2002q3,THA,5861.1489,,,,100.02789,13.95776442
2002q4,THA,5962.5601,,,,100.61348,36.17640597
2003q1,THA,6051.5801,,,,101.27342,23.63533464
2003q2,THA,6159.9702,,,,101.74281,30.7046335
2003q3,THA,6276,,,,101.93801,75.77304683
2003q4,THA,6137.8501,,,,102.25404,74.21703137
2004q1,THA,6280.5801,,,,103.26719,74.89656706
2004q2,THA,6469.1401,,,,104.47089,46.99897185
2004q3,THA,6785.6899,,,,105.2935,64.12156395
2004q4,THA,6887.52,,,,105.45152,43.66093847
2005q1,THA,7024.98,,,,106.15793,45.83408175
2005q2,THA,7127.29,,,,108.3376,41.53967654
2005q3,THA,7274.3901,,,,111.22369,74.05537953
2005q4,THA,7372.0801,,,,111.77209,63.57441606
2006q1,THA,7481.7798,,,,112.20432,117.6263762
2006q2,THA,7534.8901,,,,114.89056,82.24936559
2006q3,THA,7654.9502,,,,115.28095,100.3526434
2006q4,THA,7689.3301,,,,115.43896,29.08379666
2007q1,THA,7711.6802,,,,114.98351,83.48339697
2007q2,THA,7820.1401,,,,117.08882,65.00539876
2007q3,THA,7860.5698,,,,117.17712,55.35949206
2007q4,THA,8074.1099,,,,118.79445,54.7931118
2008q1,THA,8152.23,,,,120.75569,79.510242
2008q2,THA,8421.8799,,,,125.8261,55.42262433
2008q3,THA,8662.2998,,,,125.65414,89.40404559
2008q4,THA,8767.25,,,,121.32269,67.52756292
2009q1,THA,8705.9102,,,,120.45361,77.7208924
2009q2,THA,8763.6396,,,,122.33119,52.42918275
2009q3,THA,8817.3604,,,,122.94466,59.75743358
2009q4,THA,9004.5098,,,,123.64178,65.11795482
2010q1,THA,9084.2803,,,,124.95702,36.2304949
2010q2,THA,9315.7803,,,,126.27226,25.80412279
2010q3,THA,9534.4805,,,,126.93685,3.257003311
2010q4,THA,10061.48,,,,127.25288,0.952969807
2011q1,THA,10425.55,,,,128.72614,38.39581199
2011q2,THA,10813.79,,,,131.45421,0.895233809
2011q3,THA,11185.06,,,,132.18387,0.925746922
2011q4,THA,11710.8,,,,132.30934,41.34269919
2012q1,THA,12011.88,,,,133.08548,0.370575308
2012q2,THA,12465.19,,,,134.76321,77.16697357
2012q3,THA,12852.93,,,,136.05988,39.00991235
2012q4,THA,13360.33,,,,136.57109,36.54654413
2013q1,THA,13554.51,,,,137.20779,97.08945286
2013q2,THA,13935.01,,,,137.87704,36.56532641
2013q3,THA,14199.52,,,,138.33249,34.89935804
2013q4,THA,14599.58,,,,138.8716,38.44228104
2014q1,THA,14704.71,,,,139.95447,46.83764162
2014q2,THA,14845.82,,,,141.2883,19.93782226
2014q3,THA,14959.24,,,,141.1024,93.17319248
2014q4,THA,15296.7,,,,140.41457,66.57460863
2015q1,THA,15436.7,,,,139.2527,55.98785203
2015q2,THA,15568.34,,,,139.69885,0.439387912
2015q3,THA,15762.89,,,,139.54549,73.0845057
2015q4,THA,16081.52,,,,139.19693,17.7583555
2016q1,THA,16111.81,,,,138.56023,0.832688462
2016q2,THA,16279.49,,,,140.12178,0.664430132
2016q3,THA,16411.99,,,,139.90799,74.43888893
2016q4,THA,16733.471,,,,140.15431,39.38341641
2017q1,THA,16796.301,,,,140.29373,38.16898662
2017q2,THA,17030.52,,,,140.25655,0.741493879
2017q3,THA,17108.789,,,,140.5354,41.44846633
2017q4,THA,17495.289,,,,141.3766,0.748272985
2018q1,THA,17644.27,,,,141.17676,97.55088412
2018q2,THA,17965.061,,,,142.10161,67.15504302
2018q3,THA,18199.119,,,,142.60353,109.8917416
2018q4,THA,18560.65,,,,142.56636,60.64859836
2019q1,THA,18667.35,,,,142.22708,94.04826978
2019q2,THA,18818.279,,,,143.63992,57.66159389
2019q3,THA,18897.881,,,,143.46797,91.0889519
2019q4,THA,19008.461,,,,143.12871,81.82705085
1996q1,PHL,947.30402,1588.2174,2846.193333,,36.699596,
1996q2,PHL,1051.2063,1577.5574,3112.673333,,37.15443,4.037455662
1996q3,PHL,1146.9564,1591.1351,3184.733333,,37.637695,5.718366977
1996q4,PHL,1260.1516,1570.7391,3076.336667,,37.893539,44.85601963
1997q1,PHL,1318.1826,1614.6188,3292.553333,,38.689503,10.66531764
1997q2,PHL,1414.7749,1649.558,2802.966667,,39.059059,9.061945423
1997q3,PHL,1542.1483,1676.848,2400.1,,39.68446,7.715281337
1997q4,PHL,1622.955,1714.7358,1885.853333,,40.253002,88.91681949
1998q1,PHL,1548.9655,1666.223,2031.32,,41.560658,20.03056254
1998q2,PHL,1582.3088,1638.525,2044.03,,42.726173,61.81416439
1998q3,PHL,1550.6879,1631.593,1431.31,,43.635849,111.9433324
1998q4,PHL,1515.2893,1639.2841,1693.376667,,44.346531,43.98302799
1999q1,PHL,1447.9891,1674.337,2003.993333,,45.313057,3.162838949
1999q2,PHL,1465.8998,1687.757,2381.476667,,45.28463,3.471892699
1999q3,PHL,1461.4327,1697.474,2285.353333,,45.739464,69.83183907
1999q4,PHL,1480.2224,1718.7111,2005.843333,,46.222729,3.036903472
2000q1,PHL,1443.239,1746.007,1882.29,,46.421719,4.684810936
2000q2,PHL,1493.3179,1757.158,1574.83,,46.848129,38.5622962
2000q3,PHL,1555.0364,1786.934,1487.14,,47.67252,74.01246293
2000q4,PHL,1559.5994,1787.1851,1399.063333,,48.781181,50.05110212
2001q1,PHL,1536.4066,1791.915,1582.423333,,49.946701,77.6545385
2001q2,PHL,1531.7703,1812.838,1435.566667,,50.287827,47.04427828
2001q3,PHL,1512.4938,1835.493,1300.086667,,51.026936,37.05429223
2001q4,PHL,1531.9906,1841.851,1065.083333,,51.311207,24.20670007
2002q1,PHL,1536.8459,1858.278,1349.003333,,51.680763,5.05985573
2002q2,PHL,1500.7499,1878.693,1325.556667,,51.993462,2.940640307
2002q3,PHL,1515.1826,1891.27,1130.486667,,52.448299,13.95776442
2002q4,PHL,1594.1094,1919.356,1043.983333,,52.647289,36.17640597
2003q1,PHL,1621.2837,1936.14,1032.376667,,53.215836,23.63533464
2003q2,PHL,1625.0302,1949.877,1113.483333,,53.812809,30.7046335
2003q3,PHL,1585.0905,2006.373,1262.953333,,54.324497,75.77304683
2003q4,PHL,1624.125,2030.348,1365.586667,,54.608772,74.21703137
2004q1,PHL,1619.0991,2074.8979,1477.246667,,55.404736,74.89656706
2004q2,PHL,1694.8713,2094.592,1528.626667,,56.371262,46.99897185
2004q3,PHL,1723.5148,2132.78,1618.063333,,58.020042,64.12156395
2004q4,PHL,1720.5929,2151.106,1798.936667,,59.043423,43.66093847
2005q1,PHL,1765.0541,2181.2339,2010.78,,60.095234,45.83408175
2005q2,PHL,1826.6034,2198.3269,1917.153333,,60.948051,41.53967654
2005q3,PHL,1814.2787,2228.5139,1935.296667,,62.255703,74.05537953
2005q4,PHL,1828.7593,2249.1741,2037.693333,,63.165379,63.57441606
2006q1,PHL,1786.0532,2284.4131,2126.363333,,64.47303,117.6263762
2006q2,PHL,1820.9688,2319.3779,2255.5,,65.183716,82.24936559
2006q3,PHL,1792.8817,2333.9231,2344.453333,,66.008102,100.3526434
2006q4,PHL,1955.2551,2383.916,2747.21,,66.207092,29.08379666
2007q1,PHL,1865.1315,2438.2051,3159.356667,,66.349228,83.48339697
2007q2,PHL,1911.1532,2467.906,3434.35,,66.718788,65.00539876
2007q3,PHL,1896.3242,2493.051,3438.636667,,67.713737,55.35949206
2007q4,PHL,2162.7961,2539.252,3663.833333,,68.367569,54.7931118
2008q1,PHL,1994.1927,2538.6819,3151.72,,70.044777,79.510242
2008q2,PHL,2132.0752,2567.207,2776.596667,,73.22863,55.42262433
2008q3,PHL,2294.8394,2622.4761,2575.69,,75.929214,89.40404559
2008q4,PHL,2455.9536,2622.7649,1984.853333,,74.991119,67.52756292
2009q1,PHL,2323.248,2561.728,1901.28,,74.877411,77.7208924
2009q2,PHL,2450.1567,2596.3369,2273.04,,75.531235,52.42918275
2009q3,PHL,2452.1179,2638.5979,2737.703333,,76.128212,59.75743358
2009q4,PHL,2582.2827,2673.3369,2990.143333,,77.151588,65.11795482
2010q1,PHL,2547.1353,2764.636,3031.633333,,78.089691,36.2304949
2010q2,PHL,2679.0259,2818.053,3265.07,,78.771942,25.80412279
2010q3,PHL,2695.3467,2833.301,3626.556667,,79.340492,3.257003311
2010q4,PHL,2867.3679,2853.104,4182.013333,,79.965889,0.952969807
2011q1,PHL,2886.9724,2854.5229,3921.316667,,81.61467,38.39581199
2011q2,PHL,3095.2136,2899.5701,4253.866667,,82.694908,0.895233809
2011q3,PHL,3159.884,2939.1919,4334.383333,,83.149742,0.925746922
2011q4,PHL,3383.9685,2984.9089,4239.24,,83.746712,41.34269919
2012q1,PHL,3376.0249,3045.137,4820.436667,,84.201553,0.370575308
2012q2,PHL,3522.9824,3060.447,5091.743333,,84.997513,77.16697357
2012q3,PHL,3544.6338,3148.012,5248.72,,85.907188,39.00991235
2012q4,PHL,3833.4233,3184.4089,5552.59,,86.106178,36.54654413
2013q1,PHL,3826.2156,3271.2881,6434.033333,,86.589439,97.08945286
2013q2,PHL,4000.4985,3274.6609,6836,,86.987419,36.56532641
2013q3,PHL,4128.3237,3339.0439,6381.473333,,87.754959,34.89935804
2013q4,PHL,4404.0771,3365.8579,6233.63,,88.693062,38.44228104
2014q1,PHL,4510.6587,3463.0391,6196.736667,,89.744865,46.83764162
2014q2,PHL,4717.2202,3496.8459,6739.17,,90.313416,19.93782226
2014q3,PHL,4887.8281,3535.8589,7048.033333,,91.336792,93.17319248
2014q4,PHL,5232.1577,3594.698,7189.35,,91.223083,66.57460863
2015q1,PHL,5201.7358,3651.7549,7682.103333,,91.109375,55.98785203
2015q2,PHL,5290.7134,3713.9551,7760.083333,,91.194656,0.439387912
2015q3,PHL,5436.3452,3764.428,7285.873333,,91.279938,73.0845057
2015q4,PHL,5842.2178,3849.8049,7002.75,,91.478928,17.7583555
2016q1,PHL,5861.0381,3915.6311,6766.42,,91.64949,0.832688462
2016q2,PHL,6114.2876,3982.728,7394.923333,,92.075905,0.664430132
2016q3,PHL,6311.9961,4037.3701,7853.296667,,92.587593,74.43888893
2016q4,PHL,6743.2183,4114.9111,7123.316667,,93.326698,39.38341641
2017q1,PHL,6865.1348,4176.3862,7258.156667,,94.293228,38.16898662
2017q2,PHL,7142.5049,4264.6558,7770.77,,94.691208,0.741493879
2017q3,PHL,7481.6846,4336.5439,8018.106667,,95.060768,41.44846633
2017q4,PHL,7835.3022,4386.1362,8354.98,,96.140999,0.748272985
2018q1,PHL,8053.4521,4456.3569,8571.046667,,97.931915,97.55088412
2018q2,PHL,8349.0947,4533.4492,7623.206667,,99.211143,67.15504302
2018q3,PHL,8589.0293,4599.168,7532.763333,,101.00206,109.8917416
2018q4,PHL,8948.0986,4662.8789,7252.843333,,101.85488,60.64859836
2019q1,PHL,8804.0869,4721.4712,7905.393333,,101.68432,94.04826978
2019q2,PHL,9035.8926,4775.8672,7887.61,,102.13915,57.66159389
2019q3,PHL,9218.9014,4884.9722,7985.13,,102.67927,91.0889519
2019q4,PHL,9622.9883,4974.8262,7850.836667,,103.41838,81.82705085
